x_g,y_g,z_g
0,0.4602,1.0374
0,0.4758,1.053
0.0078,0.4836,1.0296
0,0.4836,1.0296
0,0.468,1.0296
0,0.4914,1.014
0,0.5226,1.0764
0.0156,0.468,1.0296
0.0078,0.4602,0.9984
0,0.468,1.053
0,0.468,1.0374
0,0.4836,1.0296
0.0078,0.468,1.0374
0,0.4602,1.0452
0,0.4836,1.0764
0.0078,0.468,1.0608
0,0.468,1.0452
0.0078,0.468,1.014
0,0.468,1.1232
0,0.4602,1.053
0,0.4758,1.0218
0,0.4836,0.9828
0.0078,0.4602,1.0296
0,0.468,1.0296
0.0156,0.468,1.053
0,0.4524,1.053
0.0156,0.4836,0.936
0,0.4992,1.0842
0,0.4758,1.0296
-0.0156,0.4758,1.0296
0.0078,0.4758,1.0218
0,0.4992,1.014
0,0.5148,1.1076
0,0.4992,1.0452
0,0.5148,1.0218
0,0.5226,1.014
0,0.507,0.9984
0,0.4992,1.014
0,0.5148,1.014
0,0.5226,1.014
0,0.507,1.014
0,0.5226,1.0296
-0.0156,0.5304,1.014
0,0.507,0.9984
0,0.5226,1.0296
0,0.4992,1.0062
0.0078,0.4992,1.0296
0,0.4992,0.9828
0,0.507,1.014
0,0.4992,1.0218
0.0156,0.4992,1.014
0,0.507,1.014
0,0.4992,1.0374
0.0078,0.4992,1.0764
0,0.507,0.9984
0,0.4992,1.0062
0,0.507,1.0062
0,0.5148,1.0374
0.0078,0.507,1.0374
0,0.4992,1.0062
0,0.5148,0.9906
